Offer,Description,Link,Eligible Credit Cards,Eligible Debit Cards,UPI
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Reserve Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
